"Chelsea","Arsenal","H","A","H"
"Arsenal","Chelsea","A","H","H"
"Chelsea","Arsenal","H","H","H"
"Chelsea","Arsenal","H","H","H"
"Arsenal","Chelsea","D","A","H"
"Arsenal","Chelsea","H","A","H"
"Chelsea","Arsenal","H","A","H"
"Arsenal","Man United","H","A","A"
"Arsenal","Man United","A","H","H"
"Man United","Arsenal","D","H","H"
"Arsenal","Man United","D","A","H"
"Arsenal","Man United","A","H","A"
"Arsenal","Man City","H","H","H"
"Man City","Arsenal","H","H","H"
"Man City","Arsenal","H","A","H"
"Arsenal","Man City","H","H","H"
"Man City","Arsenal","A","H","A"
"Arsenal","Tottenham","A","H","H"
"Arsenal","Tottenham","H","A","H"
"Tottenham","Arsenal","H","H","A"
"Arsenal","Tottenham","D","H","H"
"Liverpool","Arsenal","H","A","H"
"Arsenal","Liverpool","H","H","H"
"Liverpool","Arsenal","A","A","H"
"Everton","Arsenal","H","A","A"
"Arsenal","Everton","H","H","H"
"Arsenal","Everton","H","H","H"
"Everton","Arsenal","H","A","A"
"Arsenal","Everton","H","H","H"
"Arsenal","Aston Villa","H","H","H"
"Aston Villa","Arsenal","H","A","A"
"Arsenal","Aston Villa","H","A","H"
"Aston Villa","Arsenal","H","A","A"
"Arsenal","Aston Villa","D","H","H"
"Arsenal","Aston Villa","H","A","H"
