"Arsenal","Wigan","H","A","H"
"Wigan","Arsenal","A","A","A"
"Arsenal","Wigan","H","H","H"
"Wigan","Arsenal","A","D","A"
"Wigan","Arsenal","A","H","A"
"Wigan","Arsenal","H","A","A"
"Arsenal","Wigan","A","H","H"
"West Brom","Arsenal","A","A","A"
"Arsenal","West Brom","A","H","H"
"West Brom","Arsenal","A","D","A"
"West Brom","Arsenal","A","A","A"
"Arsenal","Newcastle","D","H","H"
"Newcastle","Arsenal","A","D","A"
"Arsenal","Newcastle","D","A","H"
"Newcastle","Arsenal","A","A","A"
"Birmingham","Arsenal","A","A","A"
"Arsenal","Birmingham","H","H","H"
"Birmingham","Arsenal","A","D","A"
"Arsenal","Birmingham","H","H","H"
"Bolton","Arsenal","D","D","A"
"Bolton","Arsenal","A","H","A"
"Arsenal","Bolton","D","H","H"
"Bolton","Arsenal","H","A","A"
"Arsenal","Bolton","H","H","H"
"Wolves","Arsenal","A","A","A"
"Arsenal","Wolves","H","D","H"
"Arsenal","Wolves","H","H","H"
"Wolves","Arsenal","H","A","A"
"Arsenal","Wolves","H","H","H"
"Wolves","Arsenal","H","A","A"
"West Ham","Arsenal","H","A","A"
"Arsenal","West Ham","H","H","H"
"Arsenal","West Ham","H","H","H"
"West Ham","Arsenal","H","D","A"
"Arsenal","West Ham","H","D","H"
"West Ham","Arsenal","H","A","A"
"Sunderland","Arsenal","H","A","A"
"Arsenal","Sunderland","H","H","H"
"Arsenal","Sunderland","H","D","H"
"Arsenal","Sunderland","H","H","H"
"Sunderland","Arsenal","D","H","A"
"Arsenal","Sunderland","H","D","H"
"Sunderland","Arsenal","A","D","A"
"Stoke","Arsenal","A","D","A"
"Arsenal","Stoke","H","H","H"
"Stoke","Arsenal","H","H","A"
"Arsenal","Stoke","H","H","H"
"Stoke","Arsenal","H","A","A"
"Arsenal","Stoke","H","H","H"
"Arsenal","Stoke","H","H","H"
"Stoke","Arsenal","H","H","A"
"Portsmouth","Arsenal","H","A","A"
"Portsmouth","Arsenal","D","A","A"
"Arsenal","Portsmouth","H","H","H"
"Arsenal","Blackburn","H","H","H"
"Arsenal","Blackburn","H","D","H"
"Blackburn","Arsenal","A","H","A"
"Arsenal","Blackburn","H","H","H"
"Arsenal","Blackburn","H","H","H"
"Hull","Arsenal","A","A","A"
"Arsenal","Hull","D","H","H"
"Hull","Arsenal","D","A","A"
"Blackpool","Arsenal","A","A","A"
