"Arsenal","Wigan","H","A","H"
"Wigan","Arsenal","A","A","A"
"Arsenal","Wigan","H","H","H"
"Wigan","Arsenal","A","H","A"
"West Brom","Arsenal","A","A","A"
"Arsenal","West Brom","H","H","H"
"Arsenal","Newcastle","H","H","H"
"Arsenal","Newcastle","H","A","H"
"Birmingham","Arsenal","A","A","A"
"Arsenal","Birmingham","H","H","H"
"Arsenal","Birmingham","H","H","H"
"Bolton","Arsenal","H","H","A"
"Arsenal","Bolton","H","H","H"
"Bolton","Arsenal","H","A","A"
"Wolves","Arsenal","A","A","A"
"Arsenal","Wolves","H","H","H"
"Wolves","Arsenal","A","A","A"
"Arsenal","Wolves","H","H","H"
"Wolves","Arsenal","D","A","A"
"West Ham","Arsenal","D","A","A"
"Arsenal","West Ham","H","H","H"
"Arsenal","West Ham","H","H","H"
"Sunderland","Arsenal","H","A","A"
"Arsenal","Sunderland","D","H","H"
"Arsenal","Sunderland","H","H","H"
"Sunderland","Arsenal","H","H","A"
"Arsenal","Stoke","H","H","H"
"Stoke","Arsenal","D","H","A"
"Arsenal","Stoke","H","H","H"
"Stoke","Arsenal","H","A","A"
"Arsenal","Stoke","H","H","H"
"Arsenal","Stoke","H","H","H"
"Portsmouth","Arsenal","A","A","A"
"Portsmouth","Arsenal","D","A","A"
"Arsenal","Blackburn","H","H","H"
"Blackburn","Arsenal","A","H","A"
"Arsenal","Blackburn","H","H","H"
"Hull","Arsenal","A","A","A"
"Arsenal","Hull","D","H","H"
"Hull","Arsenal","D","A","A"
"Blackpool","Arsenal","A","A","A"
