"Chelsea","Arsenal","H","A","H"
"Arsenal","Chelsea","A","H","H"
"Chelsea","Arsenal","H","H","H"
"Chelsea","Arsenal","H","H","H"
"Arsenal","Chelsea","D","A","H"
"Arsenal","Chelsea","H","A","H"
"Chelsea","Arsenal","H","A","H"
"Man United","Chelsea","H","H","H"
"Chelsea","Man United","H","H","H"
"Man United","Chelsea","H","A","H"
"Chelsea","Man United","H","H","H"
"Man United","Chelsea","H","H","H"
"Man City","Chelsea","H","H","H"
"Chelsea","Man City","H","H","H"
"Chelsea","Man City","H","H","H"
"Chelsea","Man City","H","A","H"
"Man City","Chelsea","A","H","A"
"Chelsea","Man City","H","H","H"
"Chelsea","Tottenham","H","H","H"
"Tottenham","Chelsea","H","H","A"
"Tottenham","Chelsea","A","H","A"
"Liverpool","Chelsea","H","H","H"
"Chelsea","Liverpool","A","A","H"
"Chelsea","Liverpool","H","A","H"
"Liverpool","Chelsea","A","H","A"
"Liverpool","Chelsea","A","A","A"
"Chelsea","Liverpool","H","H","H"
"Liverpool","Chelsea","H","H","H"
"Chelsea","Liverpool","D","A","H"
"Everton","Chelsea","A","H","A"
"Chelsea","Everton","H","H","H"
"Everton","Chelsea","H","H","A"
"Everton","Chelsea","H","H","A"
"Aston Villa","Chelsea","H","A","A"
"Chelsea","Aston Villa","H","A","H"
"Chelsea","Aston Villa","H","H","H"
"Aston Villa","Chelsea","D","H","A"
"Aston Villa","Chelsea","H","A","A"
"Chelsea","Aston Villa","H","H","H"
