Chelsea,Newcastle,H,A,H
,,,,
Newcastle,Chelsea,H,A,A
,,,,
Chelsea,Newcastle,H,D,H
,,,,
Newcastle,Chelsea,H,D,A
,,,,
Newcastle,Chelsea,A,A,A
,,,,
Chelsea,Newcastle,H,D,H
,,,,
Chelsea,Birmingham,H,H,H
,,,,
Birmingham,Chelsea,D,H,A
,,,,
Chelsea,Birmingham,H,H,H
,,,,
Birmingham,Chelsea,A,D,A
,,,,
Chelsea,Bolton,H,H,H
,,,,
Bolton,Chelsea,A,A,A
,,,,
Bolton,Chelsea,H,A,A
,,,,
Chelsea,Bolton,H,H,H
,,,,
Chelsea,Bolton,H,H,H
,,,,
Bolton,Chelsea,H,A,A
,,,,
Chelsea,Bolton,H,H,H
,,,,
Bolton,Chelsea,A,A,A
,,,,
Chelsea,Wigan,H,H,H
,,,,
Wigan,Chelsea,H,D,A
,,,,
Chelsea,Wigan,H,H,H
,,,,
Chelsea,Wigan,H,H,H
,,,,
Wigan,Chelsea,H,H,A
,,,,
Chelsea,Wigan,H,H,H
,,,,
West Brom,Chelsea,H,H,A
,,,,
West Brom,Chelsea,A,A,A
,,,,
Chelsea,West Brom,H,H,H
,,,,
West Brom,Chelsea,H,A,A
,,,,
Wolves,Chelsea,A,A,A
,,,,
Chelsea,Wolves,H,H,H
,,,,
Wolves,Chelsea,H,H,A
,,,,
Chelsea,Wolves,H,H,H
,,,,
Wolves,Chelsea,A,A,A
,,,,
Chelsea,Wolves,H,H,H
,,,,
Chelsea,West Ham,H,H,H
,,,,
Chelsea,West Ham,H,H,H
,,,,
West Ham,Chelsea,A,D,A
,,,,
West Ham,Chelsea,A,A,A
,,,,
Chelsea,West Ham,H,D,H
,,,,
Chelsea,Sunderland,H,H,H
,,,,
Sunderland,Chelsea,H,A,A
,,,,
Chelsea,Sunderland,H,A,H
,,,,
Chelsea,Sunderland,H,H,H
,,,,
Sunderland,Chelsea,A,A,A
,,,,
Chelsea,Sunderland,H,H,H
,,,,
Chelsea,Stoke,H,H,H
,,,,
Stoke,Chelsea,H,D,A
,,,,
Chelsea,Stoke,H,H,H
,,,,
Chelsea,Stoke,H,H,H
,,,,
Portsmouth,Chelsea,A,A,A
,,,,
Chelsea,Portsmouth,H,H,H
,,,,
Portsmouth,Chelsea,D,A,A
,,,,
Chelsea,Blackburn,H,H,H
,,,,
Blackburn,Chelsea,H,A,A
,,,,
Chelsea,Blackburn,H,H,H
,,,,
Blackburn,Chelsea,A,A,A
,,,,
Blackburn,Chelsea,A,D,A
,,,,
Chelsea,Blackburn,H,H,H
,,,,
Chelsea,Blackburn,H,H,H
,,,,
Blackburn,Chelsea,A,A,A
"Hull","Chelsea","D","D","A"
"Chelsea","Hull","H","D","H"
"Hull","Chelsea","D","A","A"
"Blackpool","Chelsea","D","A","A"
