"Wigan","Man City","H","A","A"
"Man City","Wigan","H","H","H"
"Man City","Wigan","H","H","H"
"Wigan","Man City","H","D","A"
"Man City","West Brom","H","H","H"
"West Brom","Man City","H","D","A"
"Man City","West Brom","H","H","H"
"West Brom","Man City","A","A","A"
"Newcastle","Man City","A","A","A"
"Man City","Newcastle","A","H","H"
"Newcastle","Man City","A","A","A"
"Man City","Newcastle","H","H","H"
"Birmingham","Man City","H","D","A"
"Man City","Birmingham","H","D","H"
"Man City","Birmingham","H","H","H"
"Birmingham","Man City","A","D","A"
"Man City","Bolton","H","H","H"
"Bolton","Man City","H","A","A"
"Man City","Bolton","H","H","H"
"Man City","Bolton","H","H","H"
"Bolton","Man City","A","D","A"
"Man City","Bolton","A","H","H"
"Wolves","Man City","A","A","A"
"Man City","Wolves","H","H","H"
"Man City","Wolves","H","H","H"
"Wolves","Man City","H","H","A"
"Wolves","Man City","H","A","A"
"Man City","West Ham","H","H","H"
"West Ham","Man City","A","A","A"
"West Ham","Man City","A","D","A"
"Man City","Sunderland","H","D","H"
"Sunderland","Man City","A","H","A"
"Man City","Sunderland","H","H","H"
"Sunderland","Man City","A","D","A"
"Man City","Sunderland","H","H","H"
"Stoke","Man City","A","D","A"
"Man City","Stoke","H","H","H"
"Man City","Stoke","H","H","H"
"Stoke","Man City","D","D","A"
"Stoke","Man City","H","D","A"
"Man City","Stoke","H","H","H"
"Man City","Portsmouth","H","H","H"
"Man City","Blackburn","H","H","H"
"Blackburn","Man City","A","A","A"
"Blackburn","Man City","A","A","A"
"Man City","Blackburn","H","H","H"
"Man City","Blackburn","H","H","H"
"Hull","Man City","A","H","A"
"Man City","Hull","H","D","H"
"Man City","Blackpool","H","H","H"
"Blackpool","Man City","H","A","A"
