H2H3encountersWins,3AllWins,3Wins,H2H3encountersLosses,3AllLosses,3Losses,H2H3encountersDraws,3AllDraws,3Draws,3FTGoals,3HTGoals,3Shots,3ShotsOnTarget,3Corners,3Fouls,3Yellows,3Reds,PtsDiff,result,BetResult
0.5,0.5,0.666666667,0.5,0.666666667,0.5,0,0.333333333,0.333333333,0.555555556,0.642857143,0.531914894,0.535211268,0.578125,0.4625,0.45,0.333333333,0.530999919,H,H
0.666666667,0.5,0.666666667,0.333333333,0.5,0.5,0,0.5,0.333333333,0.444444444,0.571428571,0.489361702,0.577464789,0.375,0.4125,0.35,0.5,0.41904454,D,A
0.666666667,0.5,0.666666667,0.333333333,0.666666667,0.5,0,0.333333333,0.333333333,0.407407407,0.571428571,0.478723404,0.507042254,0.484375,0.4,0.45,0.5,0.581278797,D,H
0.5,0.666666667,0.833333333,0.5,0.5,0.333333333,0,0.333333333,0.333333333,0.518518519,0.357142857,0.574468085,0.633802817,0.609375,0.375,0.45,0.333333333,0.50432463,D,H
0.5,0.333333333,0.5,0.5,0.666666667,0.666666667,0,0.5,0.333333333,0.444444444,0.5,0.521276596,0.563380282,0.421875,0.5125,0.5,0.5,0.505052138,A,H
0.333333333,0.5,0.666666667,0.333333333,0.666666667,0.5,0.333333333,0.333333333,0.333333333,0.407407407,0.5,0.446808511,0.535211268,0.515625,0.25,0.4,0.5,0.518632285,H,H
0.333333333,0.5,0.5,0.333333333,0.5,0.5,0.333333333,0.5,0.5,0.444444444,0.428571429,0.563829787,0.591549296,0.484375,0.4,0.5,0.5,0.524452348,A,H
0.333333333,0.666666667,0.833333333,0.666666667,0.5,0.333333333,0,0.333333333,0.333333333,0.592592593,0.571428571,0.521276596,0.605633803,0.453125,0.4875,0.45,0.333333333,0.506749656,H,H
0.333333333,0.5,0.666666667,0.666666667,0.5,0.5,0,0.5,0.333333333,0.555555556,0.571428571,0.659574468,0.549295775,0.296875,0.3625,0.35,0.666666667,0.452024897,H,H
0.333333333,0.666666667,0.666666667,0.666666667,0.5,0.5,0,0.333333333,0.333333333,0.555555556,0.357142857,0.574468085,0.61971831,0.421875,0.35,0.2,0.5,0.558645219,A,H
0.333333333,0.666666667,0.666666667,0.666666667,0.5,0.5,0,0.333333333,0.333333333,0.481481481,0.5,0.5,0.549295775,0.34375,0.375,0.65,0.333333333,0.537385822,H,H
